127.0.0.1 - - [01/Jul/2026 11:48:55] "GET /api/v1/health HTTP/1.1" 200 439
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /studio?token=token-frontline-smoke HTTP/1.1" 302 0
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /studio HTTP/1.1" 200 642
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 228096
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 14240
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /favicon.ico HTTP/1.1" 404 46
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [01/Jul/2026 11:48:56] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [01/Jul/2026 11:48:57] "GET /studio/studies/new HTTP/1.1" 200 654
127.0.0.1 - - [01/Jul/2026 11:48:57] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 228096
127.0.0.1 - - [01/Jul/2026 11:48:57] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 14240
127.0.0.1 - - [01/Jul/2026 11:48:57] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [01/Jul/2026 11:48:57] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [01/Jul/2026 11:48:57] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [01/Jul/2026 11:48:57] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 8839
127.0.0.1 - - [01/Jul/2026 11:48:57] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [01/Jul/2026 11:48:57] "POST /api/v1/projects HTTP/1.1" 201 636
127.0.0.1 - - [01/Jul/2026 11:48:57] "POST /api/v1/studies HTTP/1.1" 201 16925
127.0.0.1 - - [01/Jul/2026 11:48:57] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [01/Jul/2026 11:48:57] "GET /api/v1/projects HTTP/1.1" 200 655
