127.0.0.1 - - [30/Jun/2026 10:02:33] "GET /api/v1/health HTTP/1.1" 200 439
127.0.0.1 - - [30/Jun/2026 10:02:34] "GET /studio?token=token-frontline-smoke HTTP/1.1" 302 0
127.0.0.1 - - [30/Jun/2026 10:02:34] "GET /studio HTTP/1.1" 200 642
127.0.0.1 - - [30/Jun/2026 10:02:34] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 174658
127.0.0.1 - - [30/Jun/2026 10:02:34] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 6257
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /favicon.ico HTTP/1.1" 404 46
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /studio/studies/new HTTP/1.1" 200 654
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 174658
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 6257
127.0.0.1 - - [30/Jun/2026 10:02:35] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 10:02:36] "POST /api/v1/projects HTTP/1.1" 201 636
127.0.0.1 - - [30/Jun/2026 10:02:36] "POST /api/v1/studies HTTP/1.1" 201 4429
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/studies HTTP/1.1" 200 4433
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/study-reports?study_id=study_88219da50e62 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/evidence-views?study_id=study_88219da50e62 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/decision-logs?study_id=study_88219da50e62 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 10:02:36] "GET /api/v1/share-bundles?study_id=study_88219da50e62 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 10:02:36] "POST /api/v1/studies/study_88219da50e62/frontline-plan-proposals HTTP/1.1" 201 11258
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/studies HTTP/1.1" 200 9632
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/study-reports?study_id=study_88219da50e62 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/evidence-views?study_id=study_88219da50e62 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/decision-logs?study_id=study_88219da50e62 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/share-bundles?study_id=study_88219da50e62 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 10:02:37] "POST /api/v1/studies/study_88219da50e62/frontline-plan-revisions HTTP/1.1" 201 14556
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/studies HTTP/1.1" 200 12996
127.0.0.1 - - [30/Jun/2026 10:02:37] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 10:02:38] "GET /api/v1/study-reports?study_id=study_88219da50e62 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 10:02:38] "GET /api/v1/evidence-views?study_id=study_88219da50e62 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 10:02:38] "GET /api/v1/decision-logs?study_id=study_88219da50e62 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 10:02:38] "GET /api/v1/share-bundles?study_id=study_88219da50e62 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 10:02:38] "GET /api/v1/session HTTP/1.1" 200 7162
