127.0.0.1 - - [02/Jul/2026 00:54:26] "GET /api/v1/health HTTP/1.1" 200 439
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /studio?token=token-frontline-smoke HTTP/1.1" 302 0
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /studio HTTP/1.1" 200 642
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 275844
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 14977
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /favicon.ico HTTP/1.1" 404 46
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /studio/studies/new HTTP/1.1" 200 654
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 275844
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 14977
127.0.0.1 - - [02/Jul/2026 00:54:28] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 00:54:29] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [02/Jul/2026 00:54:29] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 9099
127.0.0.1 - - [02/Jul/2026 00:54:29] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [02/Jul/2026 00:54:29] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 00:54:29] "POST /api/v1/projects HTTP/1.1" 201 636
127.0.0.1 - - [02/Jul/2026 00:54:29] "POST /api/v1/studies HTTP/1.1" 201 16925
127.0.0.1 - - [02/Jul/2026 00:54:29] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 00:54:29] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 00:54:29] "GET /api/v1/studies HTTP/1.1" 200 16929
