127.0.0.1 - - [02/Jul/2026 01:02:27] "GET /api/v1/health HTTP/1.1" 200 439
127.0.0.1 - - [02/Jul/2026 01:02:28] "GET /studio?token=token-frontline-smoke HTTP/1.1" 302 0
127.0.0.1 - - [02/Jul/2026 01:02:28] "GET /studio HTTP/1.1" 200 642
127.0.0.1 - - [02/Jul/2026 01:02:28] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 276332
127.0.0.1 - - [02/Jul/2026 01:02:28] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 14977
127.0.0.1 - - [02/Jul/2026 01:02:28] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:28] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [02/Jul/2026 01:02:28] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [02/Jul/2026 01:02:28] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 01:02:28] "GET /favicon.ico HTTP/1.1" 404 46
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /studio/studies/new HTTP/1.1" 200 654
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 276332
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 14977
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 9099
127.0.0.1 - - [02/Jul/2026 01:02:29] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 01:02:29] "POST /api/v1/projects HTTP/1.1" 201 636
127.0.0.1 - - [02/Jul/2026 01:02:29] "POST /api/v1/studies HTTP/1.1" 201 16925
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/studies HTTP/1.1" 200 16929
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 9099
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/evidence-views?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/decision-logs?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/export-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/share-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/studies HTTP/1.1" 200 16929
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:30] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 9099
127.0.0.1 - - [02/Jul/2026 01:02:31] "POST /api/v1/persona-library/generation-jobs HTTP/1.1" 201 2502
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/studies HTTP/1.1" 200 16929
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 43468
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/studies HTTP/1.1" 200 16929
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/evidence-views?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/decision-logs?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/export-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/share-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/studies HTTP/1.1" 200 16929
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 01:02:31] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/evidence-views?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/decision-logs?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/export-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/share-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/evidence-views?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/decision-logs?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/export-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/share-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:32] "POST /api/v1/studies/study_b5d06fc8121f/frontline-plan-proposals HTTP/1.1" 201 120053
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/studies HTTP/1.1" 200 98253
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 01:02:32] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 43468
127.0.0.1 - - [02/Jul/2026 01:02:33] "POST /api/v1/studies/study_b5d06fc8121f/frontline-plan-revisions HTTP/1.1" 201 134889
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/evidence-views?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/decision-logs?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/export-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/share-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/studies HTTP/1.1" 200 123266
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 43468
127.0.0.1 - - [02/Jul/2026 01:02:33] "POST /api/v1/studies/study_b5d06fc8121f/frontline-runs HTTP/1.1" 202 186226
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/evidence-views?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/decision-logs?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/export-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/share-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:33] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/studies HTTP/1.1" 200 123348
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/validation-jobs HTTP/1.1" 200 62609
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/evidence-views?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/decision-logs?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/export-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/share-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /studio/studies/study_b5d06fc8121f/runs HTTP/1.1" 200 709
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 276332
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 14977
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/studies HTTP/1.1" 200 123410
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/validation-jobs HTTP/1.1" 200 63040
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/evidence-views?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:34] "GET /api/v1/decision-logs?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/export-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/share-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/studies HTTP/1.1" 200 123410
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/validation-jobs HTTP/1.1" 200 63040
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/evidence-views?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/decision-logs?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/export-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/share-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:35] "GET /api/v1/evidence-query?job_id=job_20260701_170233_f1ec2998&query_text=&active_family=all&sort_by=relevance HTTP/1.1" 200 41713
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/studies HTTP/1.1" 200 123410
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/validation-jobs HTTP/1.1" 200 63040
127.0.0.1 - - [02/Jul/2026 01:02:36] "POST /api/v1/evidence-views HTTP/1.1" 201 10279
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/evidence-views?study_id=study_b5d06fc8121f HTTP/1.1" 200 10282
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/decision-logs?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/export-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 22
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/share-bundles?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /studio/studies/study_b5d06fc8121f/evidence-views/view_671b0121115b HTTP/1.1" 200 781
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/evidence-views/view_671b0121115b HTTP/1.1" 200 10279
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/studies HTTP/1.1" 200 123410
127.0.0.1 - - [02/Jul/2026 01:02:36] "GET /api/v1/validation-jobs HTTP/1.1" 200 63040
127.0.0.1 - - [02/Jul/2026 01:02:37] "GET /api/v1/evidence-query?job_id=job_20260701_170233_f1ec2998&query_text=&active_family=all&sort_by=relevance HTTP/1.1" 200 42268
127.0.0.1 - - [02/Jul/2026 01:02:37] "GET /api/v1/study-reports?study_id=study_b5d06fc8121f HTTP/1.1" 200 21
127.0.0.1 - - [02/Jul/2026 01:02:37] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 14977
127.0.0.1 - - [02/Jul/2026 01:02:51] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 276332
