127.0.0.1 - - [30/Jun/2026 12:07:00] "GET /api/v1/health HTTP/1.1" 200 439
127.0.0.1 - - [30/Jun/2026 12:07:01] "GET /studio?token=token-frontline-smoke HTTP/1.1" 302 0
127.0.0.1 - - [30/Jun/2026 12:07:01] "GET /studio HTTP/1.1" 200 642
127.0.0.1 - - [30/Jun/2026 12:07:01] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 8820
127.0.0.1 - - [30/Jun/2026 12:07:01] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 184706
127.0.0.1 - - [30/Jun/2026 12:07:01] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:01] "GET /favicon.ico HTTP/1.1" 404 46
127.0.0.1 - - [30/Jun/2026 12:07:01] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [30/Jun/2026 12:07:01] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [30/Jun/2026 12:07:01] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /studio/studies/new HTTP/1.1" 200 654
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 184706
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 8820
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [30/Jun/2026 12:07:02] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 12:07:02] "POST /api/v1/projects HTTP/1.1" 201 636
127.0.0.1 - - [30/Jun/2026 12:07:03] "POST /api/v1/studies HTTP/1.1" 201 5179
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/studies HTTP/1.1" 200 5183
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:03] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/studies HTTP/1.1" 200 5183
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/studies HTTP/1.1" 200 5183
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:04] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:04] "POST /api/v1/studies/study_50b4e36d8977/frontline-plan-proposals HTTP/1.1" 201 13763
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/studies HTTP/1.1" 200 12051
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/studies HTTP/1.1" 200 12051
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 12:07:05] "POST /api/v1/studies/study_50b4e36d8977/frontline-plan-revisions HTTP/1.1" 201 18890
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:05] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/studies HTTP/1.1" 200 17244
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:06] "POST /api/v1/studies/study_50b4e36d8977/frontline-runs HTTP/1.1" 202 21231
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/studies HTTP/1.1" 200 17326
127.0.0.1 - - [30/Jun/2026 12:07:06] "GET /api/v1/validation-jobs HTTP/1.1" 200 3636
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/studies HTTP/1.1" 200 17326
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/validation-jobs HTTP/1.1" 200 3636
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /studio/studies/study_50b4e36d8977/evidence HTTP/1.1" 200 717
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 184706
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 8820
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:07] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/studies HTTP/1.1" 200 17326
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/validation-jobs HTTP/1.1" 200 3636
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/studies HTTP/1.1" 200 17326
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/validation-jobs HTTP/1.1" 200 3636
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 12:07:08] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 12:07:09] "GET /api/v1/studies HTTP/1.1" 200 17326
127.0.0.1 - - [30/Jun/2026 12:07:09] "GET /api/v1/validation-jobs HTTP/1.1" 200 3636
127.0.0.1 - - [30/Jun/2026 12:07:09] "GET /api/v1/study-reports?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:09] "GET /api/v1/evidence-views?study_id=study_50b4e36d8977 HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 12:07:09] "GET /api/v1/decision-logs?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 12:07:09] "GET /api/v1/share-bundles?study_id=study_50b4e36d8977 HTTP/1.1" 200 21
